iter	Passed	Remaining
0	155	154954
1	167	83819
2	180	59968
3	192	48015
4	206	41174
5	222	36803
6	237	33708
7	252	31274
8	265	29235
9	281	27857
10	298	26814
11	314	25882
12	326	24787
13	342	24141
14	359	23631
15	378	23257
16	393	22777
17	409	22360
18	424	21916
19	439	21515
20	453	21132
21	467	20773
22	481	20444
23	497	20212
24	509	19865
25	520	19498
26	531	19142
27	545	18924
28	558	18706
29	570	18436
30	579	18108
31	588	17815
32	600	17604
33	612	17390
34	623	17186
35	634	17001
36	646	16822
37	656	16608
38	665	16408
39	675	16216
40	685	16028
41	695	15857
42	705	15693
43	715	15538
44	724	15373
45	732	15183
46	740	15018
47	751	14897
48	761	14774
49	770	14633
50	778	14494
51	788	14370
52	797	14252
53	806	14125
54	816	14020
55	825	13912
56	834	13810
57	845	13729
58	855	13642
59	865	13564
60	876	13492
61	889	13451
62	899	13376
63	909	13295
64	919	13221
65	929	13158
66	939	13088
67	951	13034
68	962	12988
69	972	12925
70	983	12872
71	993	12810
72	1003	12747
73	1012	12673
74	1023	12626
75	1036	12597
76	1046	12548
77	1058	12510
78	1069	12471
79	1080	12427
80	1091	12384
81	1097	12290
82	1107	12232
83	1116	12177
84	1126	12129
85	1136	12082
86	1145	12024
87	1155	11978
88	1165	11926
89	1175	11888
90	1186	11848
91	1195	11801
92	1206	11763
93	1216	11728
94	1227	11689
95	1236	11643
96	1245	11593
97	1254	11543
98	1262	11493
99	1272	11451
100	1282	11416
101	1291	11372
102	1301	11338
103	1312	11311
104	1322	11273
105	1332	11235
106	1340	11189
107	1351	11162
108	1360	11123
109	1369	11083
110	1380	11055
111	1390	11024
112	1399	10987
113	1408	10950
114	1419	10924
115	1429	10890
116	1438	10853
117	1447	10817
118	1456	10781
119	1465	10746
120	1477	10730
121	1486	10699
122	1495	10662
123	1506	10642
124	1515	10605
125	1524	10573
126	1535	10556
127	1544	10525
128	1553	10490
129	1565	10476
130	1573	10440
131	1582	10406
132	1595	10401
133	1604	10370
134	1613	10339
135	1625	10327
136	1636	10309
137	1645	10278
138	1658	10273
139	1670	10260
140	1679	10232
141	1688	10202
142	1700	10193
143	1709	10164
144	1718	10135
145	1731	10129
146	1740	10098
147	1749	10072
148	1763	10070
149	1774	10054
150	1783	10029
151	1792	9999
152	1804	9989
153	1813	9963
154	1822	9937
155	1835	9932
156	1844	9904
157	1853	9878
158	1866	9870
159	1876	9853
160	1886	9828
161	1895	9803
162	1905	9784
163	1914	9760
164	1923	9734
165	1933	9714
166	1942	9690
167	1952	9668
168	1961	9644
169	1970	9623
170	1979	9597
171	1988	9572
172	1998	9553
173	2008	9533
174	2017	9509
175	2026	9487
176	2035	9466
177	2044	9442
178	2053	9418
179	2062	9394
180	2071	9372
181	2080	9350
182	2089	9327
183	2098	9306
184	2109	9292
185	2118	9270
186	2127	9247
187	2136	9228
188	2151	9230
189	2159	9207
190	2168	9185
191	2181	9179
192	2190	9157
193	2199	9138
194	2213	9136
195	2222	9118
196	2231	9094
197	2241	9081
198	2251	9061
199	2261	9045
200	2271	9029
201	2282	9015
202	2291	8998
203	2302	8983
204	2312	8966
205	2321	8948
206	2331	8932
207	2341	8916
208	2351	8898
209	2360	8880
210	2371	8867
211	2381	8853
212	2391	8837
213	2401	8819
214	2411	8803
215	2421	8788
216	2433	8779
217	2441	8759
218	2450	8739
219	2460	8723
220	2471	8710
221	2480	8693
222	2491	8679
223	2500	8662
224	2511	8649
225	2522	8637
226	2532	8623
227	2541	8607
228	2551	8588
229	2559	8570
230	2568	8550
231	2578	8536
232	2588	8519
233	2598	8505
234	2608	8492
235	2618	8478
236	2629	8466
237	2640	8453
238	2650	8440
239	2660	8425
240	2669	8408
241	2679	8392
242	2688	8374
243	2698	8361
244	2707	8343
245	2717	8329
246	2727	8316
247	2738	8302
248	2747	8287
249	2757	8271
250	2768	8260
251	2777	8245
252	2786	8227
253	2796	8214
254	2806	8198
255	2815	8183
256	2825	8170
257	2837	8161
258	2847	8146
259	2857	8134
260	2867	8119
261	2877	8105
262	2887	8092
263	2898	8080
264	2908	8066
265	2917	8049
266	2926	8035
267	2936	8020
268	2946	8006
269	2956	7993
270	2966	7980
271	2977	7970
272	2987	7956
273	2998	7943
274	3007	7928
275	3016	7912
276	3026	7898
277	3035	7884
278	3046	7872
279	3056	7858
280	3067	7848
281	3078	7837
282	3088	7826
283	3099	7815
284	3110	7803
285	3120	7790
286	3129	7775
287	3139	7762
288	3148	7746
289	3158	7733
290	3169	7722
291	3181	7712
292	3191	7701
293	3202	7691
294	3212	7677
295	3222	7664
296	3231	7649
297	3240	7634
298	3250	7619
299	3259	7605
300	3268	7590
301	3278	7577
302	3287	7563
303	3297	7549
304	3306	7533
305	3315	7519
306	3324	7505
307	3334	7491
308	3343	7475
309	3351	7459
310	3361	7446
311	3370	7433
312	3380	7418
313	3389	7404
314	3399	7392
315	3408	7378
316	3419	7368
317	3429	7354
318	3438	7339
319	3448	7327
320	3458	7315
321	3467	7301
322	3477	7288
323	3486	7274
324	3495	7259
325	3504	7245
326	3513	7231
327	3522	7216
328	3531	7203
329	3541	7189
330	3551	7178
331	3560	7164
332	3569	7150
333	3578	7136
334	3589	7125
335	3599	7112
336	3609	7101
337	3619	7089
338	3630	7078
339	3640	7067
340	3652	7058
341	3662	7047
342	3672	7034
343	3682	7022
344	3692	7010
345	3701	6997
346	3711	6984
347	3720	6971
348	3729	6956
349	3738	6943
350	3749	6932
351	3758	6918
352	3768	6907
353	3779	6897
354	3790	6886
355	3800	6874
356	3809	6860
357	3819	6848
358	3828	6836
359	3837	6821
360	3846	6807
361	3855	6794
362	3864	6781
363	3874	6770
364	3885	6760
365	3896	6750
366	3907	6739
367	3917	6727
368	3927	6716
369	3936	6702
370	3944	6688
371	3953	6673
372	3961	6659
373	3970	6646
374	3980	6634
375	3991	6623
376	4000	6611
377	4011	6601
378	4023	6592
379	4033	6580
380	4042	6567
381	4050	6553
382	4059	6539
383	4068	6525
384	4077	6513
385	4087	6501
386	4098	6492
387	4110	6483
388	4121	6473
389	4131	6462
390	4141	6450
391	4150	6438
392	4160	6425
393	4168	6411
394	4177	6398
395	4187	6387
396	4197	6376
397	4209	6366
398	4220	6356
399	4232	6348
400	4243	6338
401	4253	6328
402	4264	6317
403	4274	6305
404	4284	6294
405	4293	6281
406	4303	6269
407	4313	6258
408	4322	6246
409	4333	6236
410	4344	6226
411	4356	6217
412	4366	6206
413	4377	6196
414	4386	6183
415	4394	6169
416	4403	6156
417	4414	6146
418	4423	6133
419	4436	6127
420	4448	6118
421	4459	6108
422	4470	6097
423	4482	6089
424	4493	6079
425	4504	6069
426	4515	6059
427	4526	6050
428	4535	6036
429	4544	6023
430	4554	6013
431	4562	5999
432	4572	5987
433	4581	5975
434	4588	5960
435	4599	5949
436	4606	5935
437	4615	5922
438	4625	5911
439	4633	5897
440	4644	5887
